event_number,event_time_[s],diss_exposure_time_[s],diss_succes,diss_power_[muW],diss_wavelength_[nm],pp_divider,ratio_dark_ion_events,use_data,reason
1,1692350744.8476195,1,0,12000,525,5,1.0,1,none
1,1692350744.8476195,1,0,12000,525,5,1.0,1,none
1,1692350744.8476195,10,0,12000,525,5,1.0,1,none
1,1692350744.8476195,5,0,12000,525,5,1.0,1,none
1,1692350744.8476195,1,0,12000,525,5,1.0,1,none
1,1692350744.8476195,30,0,12000,525,5,1.0,1,none
1,1692350744.8476195,10,0,12000,525,5,1.0,1,none
1,1692350744.8476195,1,0,12000,525,5,1.0,1,none
1,1692350744.8476195,30,0,12000,525,5,1.0,1,none
1,1692350744.8476195,5,0,12000,525,5,1.0,1,none
1,1692350744.8476195,60,0,12000,525,5,1.0,1,none
1,1692350744.8476195,5,0,12000,525,5,1.0,1,none
1,1692350744.8476195,60,0,12000,525,5,1.0,1,none
1,1692350744.8476195,10,0,12000,525,5,1.0,1,none
1,1692350744.8476195,5,0,12000,525,5,1.0,1,none
2,1692352375.921528,30,0,12000,525,5,1.0,0,2_dark
3,1692352874.344075,10,0,12000,525,5,1.0,1,none
3,1692352874.344075,10,0,12000,525,5,1.0,1,none
3,1692352874.344075,5,0,12000,525,5,1.0,1,none
3,1692352874.344075,5,0,12000,525,5,1.0,1,none
3,1692352874.344075,1,0,12000,525,5,1.0,1,none
3,1692352874.344075,5,0,12000,525,5,1.0,1,none
3,1692352874.344075,60,1,12000,525,5,0.0,1,none
4,1692354582.9892685,1,0,12000,525,5,1.0,1,none
4,1692354582.9892685,10,0,12000,525,5,1.0,1,none
4,1692354582.9892685,5,0,12000,525,5,1.0,1,none
4,1692354582.9892685,10,0,12000,525,5,1.0,1,none
4,1692354582.9892685,1,0,12000,525,5,1.0,1,none
4,1692354582.9892685,5,0,12000,525,5,1.0,1,none
4,1692354582.9892685,5,0,12000,525,5,1.0,1,none
4,1692354582.9892685,30,0,12000,525,5,1.0,1,none
4,1692354582.9892685,60,0,12000,525,5,1.0,1,none
4,1692354582.9892685,1,0,12000,525,5,1.0,1,none
4,1692354582.9892685,5,0,12000,525,5,1.0,1,none
4,1692354582.9892685,60,1,12000,525,5,0.0,1,none
5,1692355608.930137,5,0,12000,525,5,1.0,0,2_dark
6,1692355964.7886922,30,0,12000,525,5,1.0,1,none
6,1692355964.7886922,30,1,12000,525,5,0.0,1,none
7,1692357870.6032076,5,0,12000,525,5,1.0,1,none
7,1692357870.6032076,1,0,12000,525,5,1.0,1,none
7,1692357870.6032076,30,0,12000,525,5,1.0,1,none
7,1692357870.6032076,10,0,12000,525,5,1.0,1,none
7,1692357870.6032076,1,0,12000,525,5,1.0,1,none
7,1692357870.6032076,5,0,12000,525,5,1.0,1,none
7,1692357870.6032076,60,1,12000,525,5,0.0,1,none
8,1692358831.359249,1,0,12000,525,5,1.0,1,none
8,1692358831.359249,5,0,12000,525,5,1.0,1,none
8,1692358831.359249,1,0,12000,525,5,1.0,1,none
8,1692358831.359249,5,0,12000,525,5,1.0,0,2_dark
9,1692359969.7882178,5,0,12000,525,5,1.0,1,none
9,1692359969.7882178,10,0,12000,525,5,1.0,1,none
9,1692359969.7882178,5,0,12000,525,5,1.0,1,none
9,1692359969.7882178,1,0,12000,525,5,1.0,1,none
9,1692359969.7882178,5,0,12000,525,5,1.0,1,none
9,1692359969.7882178,60,0,12000,525,5,1.0,1,none
9,1692359969.7882178,30,1,12000,525,5,0.0,1,none
10,1692360839.7768521,1,0,12000,525,5,1.0,1,none
10,1692360839.7768521,10,0,12000,525,5,1.0,1,none
10,1692360839.7768521,60,0,12000,525,5,1.0,1,none
10,1692360839.7768521,5,0,12000,525,5,1.0,1,none
10,1692360839.7768521,5,0,12000,525,5,1.0,1,none
10,1692360839.7768521,60,0,12000,525,5,1.0,1,none
10,1692360839.7768521,5,0,12000,525,5,1.0,1,none
10,1692360839.7768521,10,0,12000,525,5,1.0,1,none
10,1692360839.7768521,30,0,12000,525,5,1.0,1,none
10,1692360839.7768521,1,0,12000,525,5,1.0,1,none
10,1692360839.7768521,1,0,12000,525,5,1.0,1,none
10,1692360839.7768521,1,0,12000,525,5,1.0,1,none
10,1692360839.7768521,30,0,12000,525,5,1.0,1,none
10,1692360839.7768521,5,0,12000,525,5,1.0,1,none
10,1692360839.7768521,10,0,12000,525,5,1.0,1,none
11,1692361706.0373175,10,0,12000,525,5,1.0,1,none
11,1692361706.0373175,5,0,12000,525,5,1.0,1,none
11,1692361706.0373175,60,0,12000,525,5,1.0,1,none
11,1692361706.0373175,5,0,12000,525,5,1.0,1,none
11,1692361706.0373175,10,0,12000,525,5,1.0,1,none
11,1692361706.0373175,1,0,12000,525,5,1.0,1,none
11,1692361706.0373175,30,1,12000,525,5,0.0,1,none
12,1692362716.414893,1,0,12000,525,5,1.0,1,none
12,1692362716.414893,5,0,12000,525,5,1.0,1,none
12,1692362716.414893,5,0,12000,525,5,1.0,1,none
12,1692362716.414893,60,1,12000,525,5,0.0,1,none
13,1692363174.1169016,1,0,12000,525,5,1.0,1,none
14,1692363691.7103598,30,0,12000,525,5,1.0,1,none
14,1692363691.7103598,5,0,12000,525,5,1.0,1,none
14,1692363691.7103598,1,0,12000,525,5,1.0,1,none
14,1692363691.7103598,10,0,12000,525,5,1.0,1,none
14,1692363691.7103598,1,0,12000,525,5,1.0,1,none
14,1692363691.7103598,5,0,12000,525,5,1.0,1,none
14,1692363691.7103598,60,0,12000,525,5,1.0,1,none
14,1692363691.7103598,5,0,12000,525,5,1.0,1,none
14,1692363691.7103598,30,0,12000,525,5,1.0,1,none
14,1692363691.7103598,10,0,12000,525,5,1.0,1,none
14,1692363691.7103598,5,0,12000,525,5,1.0,1,none
14,1692363691.7103598,1,0,12000,525,5,1.0,1,none
14,1692363691.7103598,10,0,12000,525,5,1.0,1,none
14,1692363691.7103598,1,0,12000,525,5,1.0,1,none
14,1692363691.7103598,60,0,12000,525,5,1.0,0,2_dark
15,1692364397.3256443,30,1,12000,525,5,0.0,1,none
16,1692364794.203216,30,0,12000,525,5,1.0,1,none
16,1692364794.203216,1,0,12000,525,5,1.0,1,none
16,1692364794.203216,5,1,12000,525,5,0.0,1,none
17,1692365042.8112543,10,0,12000,525,5,1.0,1,none
17,1692365042.8112543,5,0,12000,525,5,1.0,1,none
17,1692365042.8112543,60,1,12000,525,5,0.0,1,none
18,1692365485.3196805,30,0,12000,525,5,1.0,1,none
18,1692365485.3196805,1,0,12000,525,5,1.0,1,none
18,1692365485.3196805,10,0,12000,525,5,1.0,1,none
