event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_08_21_12_15_01    3    3    False    0    [[1, 3, 15], [5, 3, 15], [1, 3, 15], [60, 3, 15], [30, 3, 15], [5, 3, 15], [1, 3, 15], [30, 3, 15], [1, 3, 15], [5, 3, 15], [5, 3, 15], [10, 3, 15], [60, 3, 15], [10, 3, 15], [10, 3, 15]]    1    none
2    2023_08_21_12_29_01    4    4    False    0    [[60, 4, 15], [1, 4, 15], [10, 4, 15], [30, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [60, 4, 15], [5, 4, 15], [5, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [10, 4, 15], [30, 4, 15]]    1    none
3    2023_08_21_12_38_08    8    8    False    0    [[5, 8, 15], [1, 8, 15], [5, 8, 15], [1, 8, 15], [60, 8, 15], [30, 8, 15], [5, 8, 15], [10, 8, 0]]    1    none
4    2023_08_21_13_03_18    5    6    True    0    [[10, 5, 15], [30, 5, 15], [5, 5, 15], [10, 5, 15], [1, 5, 15], [1, 5, 15], [60, 6, 0]]    1    none
5    2023_08_21_13_12_43    4    4    False    0    [[60, 4, 15]]    0    2_dark
6    2023_08_21_13_23_13    4    3    False    0    [[60, 3, 15]]    0    2_dark
7    2023_08_21_13_31_24    3    4    True    0    [[10, 3, 15], [60, 4, 0]]    1    none
8    2023_08_21_13_38_45    3    3    False    0    [[30, 3, 15], [60, 3, 15], [10, 3, 15], [30, 3, 15], [5, 3, 15], [1, 3, 15], [10, 3, 15], [5, 3, 15], [60, 3, 15], [5, 3, 15], [1, 3, 15], [1, 3, 15], [5, 3, 15], [10, 3, 15], [1, 3, 15]]    1    none
9    2023_08_21_13_55_06    3    4    True    0    [[1, 3, 15], [5, 3, 15], [10, 3, 15], [10, 3, 15], [30, 4, 0]]    1    none
10    2023_08_21_14_02_05    3    3    False    0    [[5, 3, 15], [60, 3, 15], [1, 3, 15], [5, 3, 15], [1, 3, 15], [10, 3, 15], [10, 3, 15], [30, 3, 15], [5, 3, 15], [1, 3, 15], [5, 3, 15], [30, 3, 15], [60, 3, 15], [1, 3, 15], [10, 3, 15]]    1    none
11    2023_08_21_14_24_34    4    4    False    0    [[5, 4, 15], [30, 4, 15], [60, 4, 15], [10, 4, 15], [5, 4, 15], [5, 4, 15], [1, 4, 15], [30, 4, 15], [10, 4, 15], [60, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [1, 4, 15], [1, 4, 15]]    1    none
12    2023_08_21_14_50_28    6    7    True    0    [[10, 6, 15], [30, 6, 15], [60, 7, 0]]    1    none
13    2023_08_21_15_04_27    2    2    False    0    [[5, 2, 15]]    0    2_dark
14    2023_08_21_15_06_55    4    5    True    0    [[30, 4, 15], [30, 4, 15], [5, 4, 15], [10, 4, 15], [5, 4, 15], [60, 4, 15], [5, 4, 15], [5, 4, 15], [1, 4, 15], [1, 4, 15], [10, 5, 0]]    1    none
15    2023_08_21_15_17_39    4    4    False    0    [[1, 4, 15], [5, 4, 15], [10, 4, 15], [10, 4, 15], [30, 4, 15], [60, 4, 15], [60, 4, 15], [5, 4, 15], [30, 4, 15], [1, 4, 15], [1, 4, 15], [10, 4, 15], [5, 4, 15], [1, 4, 15], [5, 4, 15]]    1    none
16    2023_08_21_15_46_26    5    6    True    0    [[1, 5, 15], [10, 5, 15], [30, 5, 15], [1, 5, 15], [5, 5, 15], [60, 5, 15], [30, 6, 0]]    1    none
17    2023_08_21_15_51_59    5    6    True    0    [[10, 5, 15], [1, 5, 15], [5, 5, 15], [60, 5, 15], [5, 5, 15], [5, 5, 15], [30, 5, 15], [10, 5, 15], [60, 6, 0]]    1    none
18    2023_08_21_16_03_05    5    4    False    0    [[5, 4, 15]]    0    2_dark
19    2023_08_21_16_21_41    3    2    False    0    [[5, 3, 15], [30, 2, 15]]    0    2_dark
20    2023_08_21_16_29_39    4    4    False    0    [[5, 4, 15], [60, 4, 15], [5, 4, 15], [10, 4, 15], [10, 4, 15], [1, 4, 15], [5, 4, 15], [10, 4, 15], [30, 4, 15], [60, 4, 15], [1, 4, 15], [5, 4, 15], [1, 4, 15], [30, 4, 15], [1, 4, 15]]    1    none
21    2023_08_21_16_40_47    3    3    False    0    [[10, 3, 15], [5, 3, 15], [1, 3, 15], [1, 3, 15], [60, 3, 15], [5, 3, 15], [5, 3, 15], [30, 3, 15], [60, 3, 15], [30, 3, 15], [10, 3, 15], [1, 3, 15], [10, 3, 15], [1, 3, 15], [5, 3, 15]]    1    none
22    2023_08_21_16_54_42    6    5    False    0    [[1, 6, 15], [5, 6, 15], [5, 6, 15], [10, 6, 15], [10, 5, 15]]    0    2_dark
23    2023_08_21_17_11_17    5    4    False    0    [[60, 5, 15], [60, 5, 15], [10, 5, 15], [5, 5, 15], [1, 5, 15], [10, 5, 15], [30, 5, 15], [5, 5, 15], [10, 4, 15]]    0    2_dark
24    2023_08_21_17_27_35    5    4    False    0    [[30, 5, 15], [5, 5, 15], [10, 5, 15], [1, 5, 15], [10, 5, 15], [60, 5, 15], [1, 5, 15], [10, 5, 15], [5, 5, 15], [1, 5, 15], [30, 5, 15], [1, 4, 15]]    0    2_dark
