event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    18.78    18.78    60.0    1    1    none
2    5.71    66.71    71.0    1    1    none
3    10.66    153.68    203.02    1    1    none
4    0    0    0.0    0    1    none
5    0    0    22.0    0    1    2_dark
6    0    0    234.0    0    1    none
7    24.26    64.26    100.0    1    1    none
8    12.65    53.65    71.0    1    1    none
9    0    0    234.0    0    1    none
10    0    0    45.0    0    1    none
11    1.93    1.93    5.0    1    1    none
12    10.2    162.2    162.0    1    1    none
13    1.86    1.86    30.0    1    1    none
14    0    0    30.0    0    1    2_dark
15    0    0    85.0    0    0    2_dark
16    0    0    234.0    0    1    none
17    0    0    31.0    0    0    empty
18    57.5    137.5    140.0    1    0    dark_reappeared
19    0    0    0.0    0    1    2_dark
20    0    0    121.0    0    1    2_dark
21    0    0    71.0    0    1    2_dark
22    0    0    12.0    0    1    melting
