frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    654779    161862
522.5    681818    183809
523.0    672801    195117
523.5    664650    182833
524.0    621487    164578
524.5    687924    179511
525.0    693083    191347
525.5    626326    173408
526.0    738727    192954
526.5    605854    151574
527.0    477327    118354
527.5    711272    186176
528.0    738883    204647
528.5    666348    182150
529.0    673122    172315
529.5    682565    176488
530.0    655243    177284
530.5    652193    192058
531.0    691519    186049
531.5    688789    184176
532.0    662235    173203
