frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    164924    60258
473.5    163943    53739
473.7    160767    56487
473.9    163619    57086
474.1    146856    48450
474.3    127738    47216
474.5    144344    49274
474.7    119845    41657
474.9    111701    32859
475.1    108765    31105
475.3    101382    32370
475.5    160753    55329
475.7    152734    53828
475.9    178298    57870
476.1    178055    65532
476.3    150021    51917
476.5    160691    57473
476.7    158928    60621
476.9    173581    61393
477.1    163272    55117
477.3    183063    55955
