frequency [kHz]    total counts in region of interest    max_val_x_line_sum
524.8    466787    152141
525.0    449762    146880
525.2    424539    120733
525.4    432183    118572
525.6    406059    108148
525.8    360326    103341
526.0    420399    127953
526.2    281452    82749
526.4    170396    42546
526.6    128414    30849
526.8    93087    23176
527.0    162028    46486
527.2    96804    19998
527.4    381526    113088
527.6    453978    143891
527.8    437325    119990
528.0    450613    145557
528.2    486680    139430
528.4    498767    154540
528.6    509036    166228
528.8    498241    127069
